,F1Score_class0,Recall_class0,Precision_class0,F1Score_class1,Recall_class1,Precision_class1,F1Score_class2,Recall_class2,Precision_class2,F1Score_class3,Recall_class3,Precision_class3,F1Score_class4,Recall_class4,Precision_class4,F1Score_class5,Recall_class5,Precision_class5,F1Score_class6,Recall_class6,Precision_class6
206,0.9867194749952267,0.9789432878339873,0.9946201908444778,,0.0,0.0,0.9764912511388077,0.9624260601427197,0.9909736453319353,0.7785136619296434,0.9025387760704885,0.6844569288389513,0.8708060444184259,0.8762886597615505,0.865391607883063,,0.0,0.0,,0.0,0.0
207,0.9825858714340382,0.9809732894149829,0.9842037638878391,,0.0,0.0,0.9750152103804385,0.953965030223452,0.9970153380719247,0.5517708098353259,0.9147344798374217,0.39502583979328165,0.9025715508409736,0.9148986512891422,0.8905722182413758,,0.0,0.0,,0.0,0.0
208,0.9745101461642391,0.9683814271273689,0.980716934487021,,0.0,0.0,0.9733411791296621,0.9558821278151101,0.9914498701999793,0.6365992742353551,0.8575418992916302,0.5061830173124485,0.896663022541517,0.8983560043207386,0.8949764097021595,,0.0,0.0,,0.0,0.0
209,0.982154814299552,0.9805547983309247,0.9837600604276822,,0.0,0.0,0.9608413921380343,0.9400372825047338,0.9825871800819609,0.8323138046288706,0.9183133870138723,0.7610425556452542,0.9609211823105509,0.9632553544311718,0.958598295223921,,0.0,0.0,,0.0,0.0
210,0.9850503719564083,0.9815315265923968,0.9885945386022524,,0.0,0.0,0.9524567522648001,0.936217211207174,0.9692696174186478,0.7812286689419796,0.8329694320112921,0.7355398457583547,0.9744754852462695,0.9763925580271213,0.9725659257600359,,0.0,0.0,,0.0,0.0
211,0.9853052193771693,0.9897648685936018,0.9808855781592679,0.9071883530482256,0.9936216860686422,0.8345889837602545,0.9077776557178951,0.9096262864819403,0.9059365235980924,,0.0,0.0,0.9757644223527641,0.9659939011134108,0.9857346104978051,,0.0,0.0,,0.0,0.0
212,0.9819405405130655,0.9896316786948453,0.9743680271148143,0.9510676800579081,0.9864114113373564,0.9181691125087351,0.8939796233405372,0.8812465761226339,0.9070860221790614,,0.0,0.0,0.9747637267528528,0.9629868684549077,0.9868322018048703,,0.0,0.0,,0.0,0.0
213,0.9766346632357048,0.9782851862540332,0.9749897002156896,0.9699588477366256,0.982785322820384,0.9574628597957289,0.8902835087939501,0.8374262101287655,0.9502629199182772,,0.0,0.0,0.9620406681833874,0.9729795063166629,0.9513450579079601,,0.0,0.0,,0.0,0.0
214,0.9836872604406983,0.9891677626591194,0.9782671532319255,0.9910957241590762,0.9942266165089662,0.9879844887199374,0.939414315193953,0.9176273412697297,0.9622610141313384,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.7736217725052337,0.7713609795753742,0.7758958566629339
215,0.987050745868092,0.9954663358295823,0.9787762524672329,0.9894488759970994,0.9946541606364303,0.984297788945932,0.9251269188563436,0.89109577901152,0.9618605817452357,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.7953545836422041,0.7929641307850843,0.797759492415981
216,0.9861602832314129,0.9947359877328865,0.9777311786292253,0.9886853712856272,0.988579713822829,0.9887910513300515,0.9130568988579072,0.8910405370258186,0.9361888111888111,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.8478348304062208,0.8583838565868804,0.8375419389016422
217,0.9732297491216785,0.9949211873293757,0.9524639702463971,0.9803285688730907,0.9895850322643258,0.9712436684617936,0.863560388378688,0.7830188678978606,0.9625706510362152,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.8287788778877888,0.805905006349516,0.8529891304347826
218,0.9786763636363637,0.9803018823750355,0.9770562267657993,0.9885401935034906,0.9916399727469212,0.9854597331393885,0.8824223543849714,0.8379274796809678,0.9319076815712078,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.8294498828071143,0.8413986013201493,0.8178357803153888
